epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4957,2.17892,3.1656,2.03607,0.15034,0.26399,0.10017,0.03357,2.37677,2.79555,2.21265,0.000414807,0.000414807,0.000414807
2,62.9975,2.07915,2.63814,1.99989,0.14563,0.30334,0.10609,0.03637,2.31689,2.71606,2.11169,0.000825985,0.000825985,0.000825985
3,92.8956,2.06435,2.54388,1.97666,0.15753,0.2869,0.1398,0.05105,2.20141,3.07034,2.11137,0.00123166,0.00123166,0.00123166
4,122.104,1.993,2.50266,1.96625,0.222,0.30647,0.16416,0.05684,2.20624,2.61405,2.078,0.00122525,0.00122525,0.00122525
5,153.516,1.98523,2.51661,1.97657,0.19209,0.31407,0.16896,0.06304,2.13394,2.41567,1.9677,0.001217,0.001217,0.001217
6,182.855,1.93815,2.42836,1.92976,0.19943,0.26744,0.14247,0.05005,2.19136,2.50296,2.02053,0.00120875,0.00120875,0.00120875
7,211.746,1.93205,2.45055,1.92,0.18171,0.32538,0.17485,0.06771,2.12101,2.34021,1.97695,0.0012005,0.0012005,0.0012005
8,240.713,1.91766,2.40379,1.91651,0.21954,0.31959,0.16571,0.06046,2.13572,2.37719,1.96742,0.00119225,0.00119225,0.00119225
9,269.504,1.898,2.36771,1.89753,0.20043,0.37375,0.19172,0.07167,2.12968,2.33624,1.94336,0.001184,0.001184,0.001184
10,298.469,1.90353,2.35626,1.90317,0.25196,0.25088,0.18675,0.07213,2.09556,2.34889,1.95578,0.00117575,0.00117575,0.00117575
11,327.648,1.8894,2.30487,1.90048,0.21165,0.36192,0.20126,0.07745,2.10324,2.30389,1.94691,0.0011675,0.0011675,0.0011675
12,356.57,1.85655,2.31274,1.88546,0.2154,0.37779,0.19909,0.07504,2.04747,2.25239,1.91964,0.00115925,0.00115925,0.00115925
